Neighbourhood,Hood_ID,Year,Crime_Type,Crime_Count,Crime_Rate,Population_2025
South Eglinton-Davisville,174,2014,ASSAULT,55.0,301.171844482422,28902
South Eglinton-Davisville,174,2014,AUTOTHEFT,2.0,10.9517030715942,28902
South Eglinton-Davisville,174,2014,BIKETHEFT,14.0,76.6619186401367,28902
South Eglinton-Davisville,174,2014,BREAKENTER,27.0,147.847991943359,28902
South Eglinton-Davisville,174,2014,HOMICIDE,,,28902
South Eglinton-Davisville,174,2014,ROBBERY,10.0,54.7585144042969,28902
South Eglinton-Davisville,174,2014,SHOOTING,1.0,5.47585153579712,28902
South Eglinton-Davisville,174,2014,THEFTFROMMV,13.0,71.1860656738281,28902
South Eglinton-Davisville,174,2014,THEFTOVER,4.0,21.9034061431885,28902
South Eglinton-Davisville,174,2015,ASSAULT,56.0,304.911254882813,28902
South Eglinton-Davisville,174,2015,AUTOTHEFT,4.0,21.7793750762939,28902
South Eglinton-Davisville,174,2015,BIKETHEFT,19.0,103.452033996582,28902
South Eglinton-Davisville,174,2015,BREAKENTER,32.0,174.235000610352,28902
South Eglinton-Davisville,174,2015,HOMICIDE,,,28902
South Eglinton-Davisville,174,2015,ROBBERY,8.0,43.5587501525879,28902
South Eglinton-Davisville,174,2015,SHOOTING,,,28902
South Eglinton-Davisville,174,2015,THEFTFROMMV,18.0,98.0071868896484,28902
South Eglinton-Davisville,174,2015,THEFTOVER,3.0,16.3345317840576,28902
South Eglinton-Davisville,174,2016,ASSAULT,66.0,342.821533203125,28902
South Eglinton-Davisville,174,2016,AUTOTHEFT,8.0,41.5541229248047,28902
South Eglinton-Davisville,174,2016,BIKETHEFT,27.0,140.245162963867,28902
South Eglinton-Davisville,174,2016,BREAKENTER,25.0,129.856643676758,28902
South Eglinton-Davisville,174,2016,HOMICIDE,1.0,5.19426536560059,28902
South Eglinton-Davisville,174,2016,ROBBERY,8.0,41.5541229248047,28902
South Eglinton-Davisville,174,2016,SHOOTING,1.0,5.19426536560059,28902
South Eglinton-Davisville,174,2016,THEFTFROMMV,11.0,57.1369209289551,28902
South Eglinton-Davisville,174,2016,THEFTOVER,4.0,20.7770614624023,28902
South Eglinton-Davisville,174,2017,ASSAULT,73.0,356.340911865234,28902
South Eglinton-Davisville,174,2017,AUTOTHEFT,7.0,34.169677734375,28902
South Eglinton-Davisville,174,2017,BIKETHEFT,33.0,161.08561706543,28902
South Eglinton-Davisville,174,2017,BREAKENTER,37.0,180.611145019531,28902
South Eglinton-Davisville,174,2017,HOMICIDE,,,28902
South Eglinton-Davisville,174,2017,ROBBERY,7.0,34.169677734375,28902
South Eglinton-Davisville,174,2017,SHOOTING,,,28902
South Eglinton-Davisville,174,2017,THEFTFROMMV,16.0,78.1021194458008,28902
South Eglinton-Davisville,174,2017,THEFTOVER,1.0,4.88138246536255,28902
South Eglinton-Davisville,174,2018,ASSAULT,74.0,340.339416503906,28902
South Eglinton-Davisville,174,2018,AUTOTHEFT,14.0,64.388542175293,28902
South Eglinton-Davisville,174,2018,BIKETHEFT,29.0,133.376266479492,28902
South Eglinton-Davisville,174,2018,BREAKENTER,48.0,220.760711669922,28902
South Eglinton-Davisville,174,2018,HOMICIDE,,,28902
South Eglinton-Davisville,174,2018,ROBBERY,12.0,55.1901779174805,28902
South Eglinton-Davisville,174,2018,SHOOTING,1.0,4.59918117523193,28902
South Eglinton-Davisville,174,2018,THEFTFROMMV,18.0,82.7852630615234,28902
South Eglinton-Davisville,174,2018,THEFTOVER,3.0,13.7975444793701,28902
South Eglinton-Davisville,174,2019,ASSAULT,62.0,270.683258056641,28902
South Eglinton-Davisville,174,2019,AUTOTHEFT,8.0,34.926872253418,28902
South Eglinton-Davisville,174,2019,BIKETHEFT,42.0,183.366073608398,28902
South Eglinton-Davisville,174,2019,BREAKENTER,83.0,362.366302490234,28902
South Eglinton-Davisville,174,2019,HOMICIDE,1.0,4.36585903167725,28902
South Eglinton-Davisville,174,2019,ROBBERY,5.0,21.8292942047119,28902
South Eglinton-Davisville,174,2019,SHOOTING,,,28902
South Eglinton-Davisville,174,2019,THEFTFROMMV,24.0,104.780616760254,28902
South Eglinton-Davisville,174,2019,THEFTOVER,3.0,13.0975770950317,28902
South Eglinton-Davisville,174,2020,ASSAULT,74.0,309.701171875,28902
South Eglinton-Davisville,174,2020,AUTOTHEFT,15.0,62.7772674560547,28902
South Eglinton-Davisville,174,2020,BIKETHEFT,92.0,385.033905029297,28902
South Eglinton-Davisville,174,2020,BREAKENTER,69.0,288.775421142578,28902
South Eglinton-Davisville,174,2020,HOMICIDE,1.0,4.18515110015869,28902
South Eglinton-Davisville,174,2020,ROBBERY,16.0,66.9624176025391,28902
South Eglinton-Davisville,174,2020,SHOOTING,1.0,4.18515110015869,28902
South Eglinton-Davisville,174,2020,THEFTFROMMV,41.0,171.591201782227,28902
South Eglinton-Davisville,174,2020,THEFTOVER,4.0,16.7406044006348,28902
South Eglinton-Davisville,174,2021,ASSAULT,106.0,427.833374023438,28902
South Eglinton-Davisville,174,2021,AUTOTHEFT,16.0,64.5786209106445,28902
South Eglinton-Davisville,174,2021,BIKETHEFT,33.0,133.193420410156,28902
South Eglinton-Davisville,174,2021,BREAKENTER,44.0,177.591217041016,28902
South Eglinton-Davisville,174,2021,HOMICIDE,1.0,4.03616380691528,28902
South Eglinton-Davisville,174,2021,ROBBERY,9.0,36.3254776000977,28902
South Eglinton-Davisville,174,2021,SHOOTING,,,28902
South Eglinton-Davisville,174,2021,THEFTFROMMV,22.0,88.7956085205078,28902
South Eglinton-Davisville,174,2021,THEFTOVER,6.0,24.216983795166,28902
South Eglinton-Davisville,174,2022,ASSAULT,122.0,474.394378662109,28902
South Eglinton-Davisville,174,2022,AUTOTHEFT,10.0,38.8847846984863,28902
South Eglinton-Davisville,174,2022,BIKETHEFT,16.0,62.2156562805176,28902
South Eglinton-Davisville,174,2022,BREAKENTER,24.0,93.323486328125,28902
South Eglinton-Davisville,174,2022,HOMICIDE,,,28902
South Eglinton-Davisville,174,2022,ROBBERY,15.0,58.3271751403809,28902
South Eglinton-Davisville,174,2022,SHOOTING,1.0,3.88847851753235,28902
South Eglinton-Davisville,174,2022,THEFTFROMMV,42.0,163.316101074219,28902
South Eglinton-Davisville,174,2022,THEFTOVER,3.0,11.6654357910156,28902
South Eglinton-Davisville,174,2023,ASSAULT,100.0,368.745147705078,28902
South Eglinton-Davisville,174,2023,AUTOTHEFT,20.0,73.7490310668945,28902
South Eglinton-Davisville,174,2023,BIKETHEFT,37.0,136.43571472168,28902
South Eglinton-Davisville,174,2023,BREAKENTER,43.0,158.560424804688,28902
South Eglinton-Davisville,174,2023,HOMICIDE,,,28902
South Eglinton-Davisville,174,2023,ROBBERY,3.0,11.0623550415039,28902
South Eglinton-Davisville,174,2023,SHOOTING,,,28902
South Eglinton-Davisville,174,2023,THEFTFROMMV,40.0,147.498062133789,28902
South Eglinton-Davisville,174,2023,THEFTOVER,8.0,29.4996128082275,28902
South Eglinton-Davisville,174,2024,ASSAULT,123.0,434.368041992188,28902
South Eglinton-Davisville,174,2024,AUTOTHEFT,19.0,67.0975036621094,28902
South Eglinton-Davisville,174,2024,BIKETHEFT,21.0,74.160400390625,28902
South Eglinton-Davisville,174,2024,BREAKENTER,52.0,183.635269165039,28902
South Eglinton-Davisville,174,2024,HOMICIDE,,,28902
South Eglinton-Davisville,174,2024,ROBBERY,16.0,56.5031623840332,28902
South Eglinton-Davisville,174,2024,SHOOTING,2.0,7.06289529800415,28902
South Eglinton-Davisville,174,2024,THEFTFROMMV,25.0,88.2861862182617,28902
South Eglinton-Davisville,174,2024,THEFTOVER,6.0,21.188684463501,28902
South Eglinton-Davisville,174,2025,ASSAULT,126.0,435.955993652344,28902
South Eglinton-Davisville,174,2025,AUTOTHEFT,17.0,58.8194580078125,28902
South Eglinton-Davisville,174,2025,BIKETHEFT,6.0,20.7598094940186,28902
South Eglinton-Davisville,174,2025,BREAKENTER,37.0,128.018829345703,28902
South Eglinton-Davisville,174,2025,HOMICIDE,,,28902
South Eglinton-Davisville,174,2025,ROBBERY,7.0,24.2197780609131,28902
South Eglinton-Davisville,174,2025,SHOOTING,,,28902
South Eglinton-Davisville,174,2025,THEFTFROMMV,29.0,100.339073181152,28902
South Eglinton-Davisville,174,2025,THEFTOVER,6.0,20.7598094940186,28902
North Toronto,173,2014,ASSAULT,53.0,455.757171630859,20582
North Toronto,173,2014,AUTOTHEFT,8.0,68.7935333251953,20582
North Toronto,173,2014,BIKETHEFT,8.0,68.7935333251953,20582
North Toronto,173,2014,BREAKENTER,25.0,214.979797363281,20582
North Toronto,173,2014,HOMICIDE,,,20582
North Toronto,173,2014,ROBBERY,7.0,60.1943435668945,20582
North Toronto,173,2014,SHOOTING,,,20582
North Toronto,173,2014,THEFTFROMMV,23.0,197.781402587891,20582
North Toronto,173,2014,THEFTOVER,2.0,17.1983833312988,20582
North Toronto,173,2015,ASSAULT,57.0,492.313018798828,20582
North Toronto,173,2015,AUTOTHEFT,2.0,17.2741413116455,20582
North Toronto,173,2015,BIKETHEFT,13.0,112.281913757324,20582
North Toronto,173,2015,BREAKENTER,44.0,380.031097412109,20582
North Toronto,173,2015,HOMICIDE,,,20582
North Toronto,173,2015,ROBBERY,12.0,103.644844055176,20582
North Toronto,173,2015,SHOOTING,,,20582
North Toronto,173,2015,THEFTFROMMV,7.0,60.4594917297363,20582
North Toronto,173,2015,THEFTOVER,3.0,25.9112110137939,20582
North Toronto,173,2016,ASSAULT,47.0,406.398620605469,20582
North Toronto,173,2016,AUTOTHEFT,2.0,17.2935581207275,20582
North Toronto,173,2016,BIKETHEFT,9.0,77.8210144042969,20582
North Toronto,173,2016,BREAKENTER,15.0,129.701690673828,20582
North Toronto,173,2016,HOMICIDE,,,20582
North Toronto,173,2016,ROBBERY,8.0,69.1742324829102,20582
North Toronto,173,2016,SHOOTING,,,20582
North Toronto,173,2016,THEFTFROMMV,15.0,129.701690673828,20582
North Toronto,173,2016,THEFTOVER,2.0,17.2935581207275,20582
North Toronto,173,2017,ASSAULT,61.0,482.213439941406,20582
North Toronto,173,2017,AUTOTHEFT,2.0,15.8102769851685,20582
North Toronto,173,2017,BIKETHEFT,14.0,110.671936035156,20582
North Toronto,173,2017,BREAKENTER,24.0,189.723327636719,20582
North Toronto,173,2017,HOMICIDE,,,20582
North Toronto,173,2017,ROBBERY,6.0,47.4308319091797,20582
North Toronto,173,2017,SHOOTING,,,20582
North Toronto,173,2017,THEFTFROMMV,14.0,110.671936035156,20582
North Toronto,173,2017,THEFTOVER,2.0,15.8102769851685,20582
North Toronto,173,2018,ASSAULT,66.0,477.5341796875,20582
North Toronto,173,2018,AUTOTHEFT,3.0,21.7060985565186,20582
North Toronto,173,2018,BIKETHEFT,18.0,130.236602783203,20582
North Toronto,173,2018,BREAKENTER,42.0,303.885406494141,20582
North Toronto,173,2018,HOMICIDE,,,20582
North Toronto,173,2018,ROBBERY,14.0,101.295127868652,20582
North Toronto,173,2018,SHOOTING,,,20582
North Toronto,173,2018,THEFTFROMMV,8.0,57.8829307556152,20582
North Toronto,173,2018,THEFTOVER,5.0,36.1768341064453,20582
North Toronto,173,2019,ASSAULT,84.0,561.760192871094,20582
North Toronto,173,2019,AUTOTHEFT,5.0,33.4381065368652,20582
North Toronto,173,2019,BIKETHEFT,22.0,147.127670288086,20582
North Toronto,173,2019,BREAKENTER,36.0,240.754364013672,20582
North Toronto,173,2019,HOMICIDE,1.0,6.68762111663818,20582
North Toronto,173,2019,ROBBERY,19.0,127.064804077148,20582
North Toronto,173,2019,SHOOTING,1.0,6.68762111663818,20582
North Toronto,173,2019,THEFTFROMMV,18.0,120.377182006836,20582
North Toronto,173,2019,THEFTOVER,4.0,26.7504844665527,20582
North Toronto,173,2020,ASSAULT,80.0,501.284545898438,20582
North Toronto,173,2020,AUTOTHEFT,14.0,87.7247924804688,20582
North Toronto,173,2020,BIKETHEFT,52.0,325.8349609375,20582
North Toronto,173,2020,BREAKENTER,89.0,557.679077148438,20582
North Toronto,173,2020,HOMICIDE,1.0,6.26605653762817,20582
North Toronto,173,2020,ROBBERY,3.0,18.7981700897217,20582
North Toronto,173,2020,SHOOTING,,,20582
North Toronto,173,2020,THEFTFROMMV,26.0,162.91748046875,20582
North Toronto,173,2020,THEFTOVER,7.0,43.8623962402344,20582
North Toronto,173,2021,ASSAULT,118.0,700.504577636719,20582
North Toronto,173,2021,AUTOTHEFT,15.0,89.0471954345703,20582
North Toronto,173,2021,BIKETHEFT,23.0,136.539031982422,20582
North Toronto,173,2021,BREAKENTER,49.0,290.887512207031,20582
North Toronto,173,2021,HOMICIDE,,,20582
North Toronto,173,2021,ROBBERY,12.0,71.2377548217773,20582
North Toronto,173,2021,SHOOTING,1.0,5.93647956848145,20582
North Toronto,173,2021,THEFTFROMMV,16.0,94.9836730957031,20582
North Toronto,173,2021,THEFTOVER,2.0,11.8729591369629,20582
North Toronto,173,2022,ASSAULT,136.0,766.369873046875,20582
North Toronto,173,2022,AUTOTHEFT,10.0,56.3507270812988,20582
North Toronto,173,2022,BIKETHEFT,12.0,67.6208724975586,20582
North Toronto,173,2022,BREAKENTER,48.0,270.483489990234,20582
North Toronto,173,2022,HOMICIDE,,,20582
North Toronto,173,2022,ROBBERY,12.0,67.6208724975586,20582
North Toronto,173,2022,SHOOTING,1.0,5.63507270812988,20582
